round,query_label,image_id,category,rank,score
1,cat,9,0,1,3.130407
1,cat,4,0,2,3.130175
1,cat,1,0,3,3.105490
1,cat,6,0,4,3.051792
1,cat,0,0,5,3.037834
1,cat,5,0,6,2.986073
1,cat,2,0,7,2.982371
1,cat,7,0,8,2.820082
1,cat,8,0,9,2.814253
1,cat,3,0,10,2.814092
1,cat,19,1,11,1.022961
1,cat,13,1,12,0.977823
1,cat,11,1,13,0.764352
1,dog,14,1,1,3.141054
1,dog,19,1,2,3.071012
1,dog,15,1,3,3.054532
1,dog,13,1,4,3.029457
1,dog,16,1,5,2.979484
1,dog,18,1,6,2.814621
1,dog,11,1,7,2.814560
1,dog,17,1,8,2.811568
1,dog,10,1,9,2.806049
1,dog,12,1,10,2.802753
1,dog,4,0,11,1.078014
1,dog,6,0,12,0.992512
1,dog,7,0,13,0.763706
1,plane,24,2,1,3.204824
1,plane,27,2,2,3.177731
1,plane,26,2,3,3.163712
1,plane,21,2,4,3.139730
1,plane,20,2,5,3.111843
1,plane,28,2,6,3.097725
1,plane,29,2,7,2.977966
1,plane,23,2,8,2.938226
1,plane,25,2,9,2.845104
1,plane,22,2,10,2.791972
1,plane,6,0,11,0.961267
1,plane,16,1,12,0.909748
1,plane,8,0,13,0.744174
1,clothes,31,3,1,3.149253
1,clothes,39,3,2,3.127343
1,clothes,36,3,3,3.096866
1,clothes,37,3,4,3.093332
1,clothes,34,3,5,3.075870
1,clothes,38,3,6,3.060128
1,clothes,33,3,7,2.953364
1,clothes,35,3,8,2.798973
1,clothes,32,3,9,2.772764
1,clothes,30,3,10,2.768123
1,clothes,9,0,11,1.066307
1,clothes,4,0,12,1.063276
1,clothes,6,0,13,0.981178
1,car,41,4,1,3.171004
1,car,49,4,2,3.166580
1,car,40,4,3,3.112346
1,car,47,4,4,3.104901
1,car,42,4,5,3.103182
1,car,48,4,6,3.086470
1,car,43,4,7,3.017854
1,car,44,4,8,3.008879
1,car,46,4,9,2.795871
1,car,45,4,10,2.787461
1,car,26,2,11,1.100298
1,car,21,2,12,1.075921
1,car,25,2,13,0.773749
10,cat,7,0,1,4.118937
10,cat,4,0,2,3.956980
10,cat,1,0,3,3.751179
10,cat,9,0,4,3.732765
10,cat,3,0,5,3.729096
10,cat,0,0,6,3.541733
10,cat,6,0,7,3.389114
10,cat,5,0,8,3.115201
10,cat,2,0,9,2.924179
10,cat,8,0,10,2.859969
10,cat,19,1,11,1.639561
10,cat,13,1,12,1.233248
10,cat,11,1,13,1.089738
10,dog,12,1,1,4.129492
10,dog,14,1,2,4.008798
10,dog,10,1,3,3.933685
10,dog,19,1,4,3.687613
10,dog,17,1,5,3.475853
10,dog,15,1,6,3.374287
10,dog,13,1,7,3.284882
10,dog,11,1,8,3.139946
10,dog,16,1,9,3.016816
10,dog,18,1,10,2.878327
10,dog,7,0,11,2.062562
10,dog,4,0,12,1.904819
10,dog,6,0,13,1.329834
10,plane,21,2,1,4.112749
10,plane,26,2,2,4.034692
10,plane,22,2,3,3.920190
10,plane,24,2,4,3.822604
10,plane,27,2,5,3.675103
10,plane,28,2,6,3.557271
10,plane,25,2,7,3.378107
10,plane,20,2,8,3.235468
10,plane,23,2,9,3.116727
10,plane,29,2,10,2.793122
10,plane,6,0,11,1.298590
10,plane,16,1,12,0.947080
10,plane,8,0,13,0.789890
10,clothes,39,3,1,4.111497
10,clothes,35,3,2,4.072426
10,clothes,31,3,3,3.834228
10,clothes,37,3,4,3.683085
10,clothes,34,3,5,3.677694
10,clothes,38,3,6,3.599078
10,clothes,36,3,7,3.420023
10,clothes,30,3,8,3.110961
10,clothes,33,3,9,2.992581
10,clothes,32,3,10,2.929346
10,clothes,4,0,11,1.890081
10,clothes,9,0,12,1.668665
10,clothes,6,0,13,1.318501
10,car,49,4,1,4.148106
10,car,47,4,2,4.025446
10,car,41,4,3,3.946178
10,car,40,4,4,3.837820
10,car,48,4,5,3.625687
10,car,42,4,6,3.519143
10,car,44,4,7,3.354734
10,car,46,4,8,3.048642
10,car,45,4,9,3.024514
10,car,43,4,10,2.964099
10,car,21,2,11,2.048941
10,car,26,2,12,1.971278
10,car,25,2,13,1.306753
20,cat,3,0,1,4.366262
20,cat,7,0,2,4.308329
20,cat,4,0,3,3.869062
20,cat,5,0,4,3.711495
20,cat,9,0,5,3.621473
20,cat,1,0,6,3.274894
20,cat,6,0,7,3.212947
20,cat,8,0,8,3.095196
20,cat,0,0,9,2.785007
20,cat,2,0,10,2.686840
20,cat,19,1,11,1.786406
20,cat,11,1,12,1.399183
20,cat,13,1,13,0.848592
20,dog,12,1,1,4.328966
20,dog,14,1,2,4.168794
20,dog,10,1,3,4.088138
20,dog,19,1,4,3.834457
20,dog,11,1,5,3.449391
20,dog,15,1,6,3.235993
20,dog,16,1,7,3.227338
20,dog,17,1,8,3.081776
20,dog,13,1,9,2.900227
20,dog,18,1,10,2.733957
20,dog,7,0,11,2.251954
20,dog,4,0,12,1.816901
20,dog,6,0,13,1.153667
20,plane,22,2,1,4.385265
20,plane,21,2,2,4.163498
20,plane,26,2,3,4.122856
20,plane,27,2,4,3.946373
20,plane,24,2,5,3.638195
20,plane,20,2,6,3.375514
20,plane,28,2,7,3.348687
20,plane,25,2,8,3.280020
20,plane,23,2,9,3.020906
20,plane,29,2,10,2.911030
20,plane,16,1,11,1.157602
20,plane,6,0,12,1.122423
20,plane,8,0,13,1.025118
20,clothes,39,3,1,4.264341
20,clothes,35,3,2,4.116312
20,clothes,31,3,3,4.097530
20,clothes,36,3,4,3.979574
20,clothes,38,3,5,3.528015
20,clothes,37,3,6,3.195306
20,clothes,34,3,7,3.154741
20,clothes,32,3,8,3.094165
20,clothes,33,3,9,2.989728
20,clothes,30,3,10,2.962424
20,clothes,4,0,11,1.802163
20,clothes,9,0,12,1.557373
20,clothes,6,0,13,1.142334
20,car,49,4,1,4.344475
20,car,47,4,2,4.129885
20,car,41,4,3,4.088604
20,car,40,4,4,3.986965
20,car,48,4,5,3.754507
20,car,42,4,6,3.394372
20,car,44,4,7,3.340535
20,car,46,4,8,3.332065
20,car,43,4,9,3.033896
20,car,45,4,10,2.859374
20,car,21,2,11,2.099690
20,car,26,2,12,2.059443
20,car,25,2,13,1.208666
30,cat,3,0,1,4.514876
30,cat,7,0,2,3.924222
30,cat,9,0,3,3.836719
30,cat,4,0,4,3.702738
30,cat,5,0,5,3.627684
30,cat,6,0,6,3.515190
30,cat,1,0,7,3.263974
30,cat,0,0,8,2.964169
30,cat,2,0,9,2.784821
30,cat,8,0,10,2.528065
30,cat,19,1,11,1.608436
30,cat,11,1,12,1.286463
30,cat,13,1,13,0.757455
30,dog,12,1,1,4.468766
30,dog,10,1,2,4.308012
30,dog,14,1,3,4.161734
30,dog,19,1,4,3.656487
30,dog,17,1,5,3.643662
30,dog,15,1,6,3.366389
30,dog,11,1,7,3.336671
30,dog,16,1,8,3.087065
30,dog,18,1,9,3.033156
30,dog,13,1,10,2.809089
30,dog,7,0,11,1.867847
30,dog,4,0,12,1.650577
30,dog,6,0,13,1.455910
30,plane,22,2,1,4.507821
30,plane,21,2,2,4.316285
30,plane,27,2,3,4.265984
30,plane,26,2,4,3.971210
30,plane,24,2,5,3.939754
30,plane,20,2,6,3.430643
30,plane,28,2,7,3.402192
30,plane,25,2,8,3.334769
30,plane,29,2,9,3.172188
30,plane,23,2,10,3.019772
30,plane,6,0,11,1.424666
30,plane,16,1,12,1.017329
30,plane,8,0,13,0.457986
30,clothes,39,3,1,4.336297
30,clothes,35,3,2,4.168409
30,clothes,36,3,3,4.102302
30,clothes,31,3,4,3.997440
30,clothes,37,3,5,3.403410
30,clothes,32,3,6,3.300838
30,clothes,38,3,7,3.267799
30,clothes,34,3,8,3.258166
30,clothes,33,3,9,3.173665
30,clothes,30,3,10,2.942830
30,clothes,9,0,11,1.772619
30,clothes,4,0,12,1.635839
30,clothes,6,0,13,1.444577
30,car,49,4,1,4.413964
30,car,47,4,2,4.178111
30,car,41,4,3,4.159749
30,car,42,4,4,3.683692
30,car,40,4,5,3.565715
30,car,48,4,6,3.475927
30,car,44,4,7,3.210195
30,car,43,4,8,3.094552
30,car,46,4,9,2.858611
30,car,45,4,10,2.777461
30,car,21,2,11,2.252477
30,car,26,2,12,1.907796
30,car,25,2,13,1.263414
40,cat,3,0,1,4.641200
40,cat,7,0,2,4.367065
40,cat,4,0,3,3.923801
40,cat,9,0,4,3.844840
40,cat,5,0,5,3.483318
40,cat,6,0,6,3.446117
40,cat,1,0,7,3.387610
40,cat,8,0,8,3.072540
40,cat,2,0,9,3.003874
40,cat,0,0,10,2.962587
40,cat,11,1,11,1.477744
40,cat,19,1,12,1.205917
40,cat,13,1,13,0.831861
40,dog,12,1,1,4.480752
40,dog,14,1,2,4.333331
40,dog,10,1,3,4.331642
40,dog,17,1,4,3.532813
40,dog,11,1,5,3.527952
40,dog,15,1,6,3.432266
40,dog,19,1,7,3.253968
40,dog,18,1,8,2.896954
40,dog,13,1,9,2.883495
40,dog,16,1,10,2.674848
40,dog,7,0,11,2.310690
40,dog,4,0,12,1.871640
40,dog,6,0,13,1.386837
40,plane,22,2,1,4.636627
40,plane,21,2,2,4.441728
40,plane,27,2,3,4.248937
40,plane,26,2,4,4.035962
40,plane,24,2,5,3.909344
40,plane,25,2,6,3.397791
40,plane,20,2,7,3.261324
40,plane,23,2,8,3.171260
40,plane,29,2,9,3.095075
40,plane,28,2,10,3.057341
40,plane,6,0,11,1.355592
40,plane,8,0,12,1.002462
40,plane,16,1,13,0.605112
40,clothes,39,3,1,4.453172
40,clothes,35,3,2,4.326075
40,clothes,31,3,3,4.149366
40,clothes,36,3,4,4.057885
40,clothes,38,3,5,3.816101
40,clothes,34,3,6,3.369917
40,clothes,37,3,7,3.221976
40,clothes,33,3,8,2.888463
40,clothes,32,3,9,2.784011
40,clothes,30,3,10,2.738948
40,clothes,4,0,11,1.856902
40,clothes,9,0,12,1.780740
40,clothes,6,0,13,1.375503
40,car,49,4,1,4.505085
40,car,41,4,2,4.301963
40,car,47,4,3,4.151430
40,car,40,4,4,3.902260
40,car,48,4,5,3.828320
40,car,44,4,6,3.308530
40,car,42,4,7,3.293292
40,car,46,4,8,3.074895
40,car,43,4,9,2.890027
40,car,45,4,10,2.690045
40,car,21,2,11,2.377919
40,car,26,2,12,1.972549
40,car,25,2,13,1.326436
50,cat,3,0,1,4.740821
50,cat,7,0,2,4.471542
50,cat,9,0,3,4.005794
50,cat,4,0,4,3.641997
50,cat,0,0,5,3.475311
50,cat,1,0,6,3.435242
50,cat,5,0,7,3.390191
50,cat,8,0,8,3.271542
50,cat,6,0,9,3.213503
50,cat,2,0,10,2.688121
50,cat,13,1,11,1.220370
